start,end,verdict,max_val,r_peak_bool,angle
15120,15360,1,-1.16,0,-1.0
57600,57840,1,-0.1,1,59.11253831090582
57840,58080,1,-0.1,1,59.11253831090582
59040,59280,1,-0.105,1,59.21631937721111
63120,63360,1,-0.18,1,60.8009300883167
121920,122160,1,-0.065,1,58.39256812351206
122160,122400,1,-0.425,1,66.33949987255062
122400,122640,1,0.285,1,51.80602482510811
122640,122880,1,-0.195,1,61.12413075446429
122880,123120,1,-0.455,1,67.05502021493048
123120,123360,1,0.165,1,53.94096407586211
123360,123600,1,0.72,1,45.05571651861196
123600,123840,1,0.635,1,46.260685939588875
123840,124080,1,-0.275,1,62.883134416967444
124080,124320,1,-0.395,1,65.63195711578638
124320,124560,1,-0.525,1,68.75500967650447
124560,124800,1,-0.73,1,73.96391820470788
124800,125040,1,-0.815,1,76.21443429397732
